sample_idx,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_19,k_20,k_21,k_22
367,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
368,0,0,3,2,1,5,0,2,3,6,6,5,1,0,3
369,0,0,3,2,1,5,0,0,7,6,6,5,0,0,3
370,2,2,0,5,0,11,5,4,12,12,1,15,9,2,4
371,2,2,0,5,0,11,5,4,12,12,1,15,9,2,4
372,2,2,0,5,0,11,5,4,12,12,1,15,9,2,4
373,2,2,0,5,10,11,5,4,7,12,1,0,9,2,4
374,1,2,1,3,0,11,5,4,1,12,1,15,9,2,4
375,2,2,0,5,10,11,5,4,7,12,1,0,9,2,4
376,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
377,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
378,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
379,2,2,0,2,10,11,5,0,7,12,1,0,9,0,3
380,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
381,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
382,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
383,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
384,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
385,0,0,3,2,1,11,5,0,7,12,6,0,0,0,3
386,0,0,3,2,1,5,0,0,3,6,0,9,0,4,5
387,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
388,0,0,3,0,1,5,0,2,3,6,0,9,1,4,5
389,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
390,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
391,1,1,1,3,0,11,10,3,1,3,2,1,9,1,1
392,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
393,0,0,3,2,1,5,0,0,3,6,6,5,1,0,3
394,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
395,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
396,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
397,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
398,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
399,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
400,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
401,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
402,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
403,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
404,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
405,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
406,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
407,0,0,3,2,1,5,0,0,7,6,6,0,0,0,3
