sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
18,2,0,3,6,4,8,8,0,1,6,0,13,13,9,7,13,14,7,3,20,14,0,2,7,4,7
19,0,1,0,3,2,0,1,0,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
20,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
21,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
22,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
23,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
24,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
25,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
26,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
27,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
28,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
29,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
30,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
31,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
32,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
33,0,1,0,3,2,0,1,8,1,9,0,13,13,10,1,13,14,7,3,20,14,0,2,7,4,7
34,1,4,4,5,8,5,2,11,10,1,0,0,15,4,11,5,14,7,3,20,14,7,2,23,4,7
35,2,0,3,6,4,8,8,4,7,2,0,2,12,9,7,11,14,7,17,20,14,12,23,27,20,7
36,2,0,3,6,4,8,8,4,7,2,0,2,12,9,7,11,14,7,17,20,14,12,23,27,20,7
37,2,0,3,6,4,8,8,4,7,2,0,2,12,9,7,11,14,7,17,20,14,12,23,27,20,7
38,2,0,3,6,4,8,8,4,7,2,0,2,12,9,7,11,14,7,17,20,14,12,23,27,20,7
39,3,3,3,6,4,8,8,4,3,2,0,6,12,9,7,11,14,7,17,20,14,12,23,27,20,7
40,4,4,4,6,8,5,2,10,10,1,0,0,14,4,13,5,14,7,3,20,14,7,2,23,4,7
41,2,0,3,6,4,5,8,4,10,2,0,0,14,11,13,13,14,7,3,20,14,7,2,23,4,7
42,2,0,3,6,4,8,8,8,7,9,0,2,4,2,1,16,14,7,3,20,14,19,2,6,4,7
43,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
44,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
45,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
46,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
47,2,0,3,6,4,8,8,4,7,2,12,2,12,9,7,11,5,11,17,11,7,12,23,27,20,13
48,2,0,3,6,4,8,8,0,1,6,0,13,13,9,7,13,14,7,3,20,14,0,2,7,4,7
49,2,1,0,3,2,0,1,0,1,6,0,13,13,10,17,13,14,7,3,20,14,0,2,7,4,7
50,2,1,0,3,2,0,1,0,1,6,0,13,13,10,17,13,14,7,3,20,14,0,2,7,4,7
51,2,0,3,6,2,8,8,8,1,9,0,1,4,2,1,16,14,7,3,20,14,19,2,6,4,7
52,0,1,0,3,2,0,1,8,1,9,0,1,13,2,1,13,14,7,3,20,14,0,2,7,4,7
53,2,0,3,6,4,8,8,8,1,9,0,1,4,2,1,16,14,7,3,20,14,19,2,7,4,7
