k,cluster,condition,n,onset_pct,crosses,polarity,onset_stim_pct,onset_resp_pct,resp_carryover,peak_pct,peak_db,peak_stim_pct,peak_stim_db,peak_resp_pct,peak_resp_db,mean_db,auc_post_go
18,0,audio,48,2.1666666666666665,True,activation,2.1666666666666665,56.83333333333333,False,2.833333333333333,0.9475074561390405,2.833333333333333,0.9475074561390405,73.83333333333333,0.7540023164280379,-0.07558789820974754,0.040033938855017874
18,0,picture,48,8.499999999999998,True,activation,8.499999999999998,53.49999999999999,False,78.16666666666667,1.5194671613474686,10.166666666666666,0.7853336189873517,78.16666666666667,1.5194671613474686,0.2825508570641094,0.39356494463149433
18,0,reading,48,2.1666666666666665,True,suppression,2.1666666666666665,50.166666666666664,True,42.49999999999999,-1.3686026356493433,42.49999999999999,-1.3686026356493433,81.83333333333333,1.0769792306236923,-0.37875369962570055,-0.19764185017791427
18,1,audio,79,31.833333333333332,True,activation,31.833333333333332,50.166666666666664,True,67.83333333333333,0.9494243115006173,35.49999999999999,0.6786488999341485,67.83333333333333,0.9494243115006173,0.5065910965783935,0.6516984522537105
18,1,picture,79,9.166666666666666,True,activation,9.166666666666666,50.166666666666664,True,64.5,0.9087993948708607,29.5,0.8177569460453866,64.5,0.9087993948708607,0.6073335639234223,0.629543204344033
18,1,reading,79,2.4999999999999996,True,activation,2.4999999999999996,50.166666666666664,True,58.49999999999999,1.0580508124755248,37.166666666666664,1.0043130468199901,58.49999999999999,1.0580508124755248,0.7474282238966625,0.7561097948874625
18,2,audio,64,35.83333333333333,True,activation,35.83333333333333,55.49999999999999,False,73.83333333333333,3.1598315984010696,35.83333333333333,-0.5535438125371002,73.83333333333333,3.1598315984010696,0.8235006575558477,1.7977074012369905
18,2,picture,64,56.166666666666664,True,activation,,56.166666666666664,False,67.16666666666667,3.3615670576691628,49.49999999999999,0.2878708757343702,67.16666666666667,3.3615670576691628,1.0287338169661964,1.9921648387701312
18,2,reading,64,2.1666666666666665,True,activation,2.1666666666666665,57.49999999999999,False,68.16666666666667,2.959101950749755,2.4999999999999996,1.1364439878670964,68.16666666666667,2.959101950749755,0.931297897591744,1.6984890778033515
18,3,audio,214,,False,suppression,,,False,44.83333333333333,-0.33956762667197005,44.83333333333333,-0.33956762667197005,73.16666666666667,0.1873084890670317,-0.06473943394699676,-0.01449704341820865
18,3,picture,214,,False,suppression,,,False,55.166666666666664,-0.30903434955240794,20.5,-0.2705243965640782,55.166666666666664,-0.30903434955240794,-0.10549283032743957,-0.058254725775355995
18,3,reading,214,,False,suppression,,,False,55.49999999999999,-0.40950314378339764,40.166666666666664,-0.3872191651254266,55.49999999999999,-0.40950314378339764,-0.16061137818919619,-0.13203647463824217
18,4,audio,59,12.833333333333332,True,suppression,12.833333333333332,53.83333333333333,False,90.16666666666667,-0.9171642910815396,13.499999999999998,-0.799441389202819,90.16666666666667,-0.9171642910815396,-0.3679212796828249,-0.39190524944587274
18,4,picture,59,80.16666666666667,True,suppression,,80.16666666666667,False,80.5,-0.5893357551451457,17.5,-0.39219198227560115,80.5,-0.5893357551451457,0.036789650898640835,0.05780024825977718
18,4,reading,59,0.5,True,activation,0.5,51.166666666666664,False,83.16666666666667,1.4358749851521293,9.833333333333332,1.3610543606139847,83.16666666666667,1.4358749851521293,0.8043655234606117,0.8180696633020774
18,5,audio,71,54.83333333333333,True,activation,,54.83333333333333,False,72.16666666666667,0.6469587630356176,4.166666666666667,0.495634297289374,72.16666666666667,0.6469587630356176,0.2261265078313587,0.29208176083369786
18,5,picture,71,5.166666666666667,True,activation,5.166666666666667,50.166666666666664,True,26.833333333333332,1.6390336265026684,26.833333333333332,1.6390336265026684,54.49999999999999,1.1158111709445504,0.8297240203805597,0.5158269887102672
18,5,reading,71,1.8333333333333333,True,activation,1.8333333333333333,,False,2.4999999999999996,1.0509978240801834,2.4999999999999996,1.0509978240801834,62.83333333333333,0.4497729711969134,0.11034912312598126,0.07545025608190509
18,6,audio,358,,False,activation,,,False,68.5,0.41696319830936884,33.166666666666664,0.24159853222361094,68.5,0.41696319830936884,0.05629110601681465,0.13328471723576796
18,6,picture,358,63.49999999999999,True,activation,,63.49999999999999,False,71.5,0.5571085288548353,35.83333333333333,0.2875204573290464,71.5,0.5571085288548353,0.2270427887210905,0.286214000055569
18,6,reading,358,2.4999999999999996,True,activation,2.4999999999999996,71.83333333333333,False,73.83333333333333,0.5891165226774665,2.4999999999999996,0.5342792060743893,73.83333333333333,0.5891165226774665,0.24276346271238394,0.2929010752601411
18,7,audio,14,5.5,True,suppression,5.5,50.166666666666664,True,40.83333333333333,-2.7215579663004195,40.83333333333333,-2.7215579663004195,60.49999999999999,-2.1926530173846652,-1.167787935892938,-0.8921980757082653
