condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[7Networks_1],coef[7Networks_2],coef[7Networks_3],coef[7Networks_4],coef[7Networks_5],coef[7Networks_6],coef[7Networks_7],importance
picture,-1,70.0,150.0,HG 70-150Hz,50,hg,0.0653925272928995,-0.038935132898923114,0.022263747395748105,0.005920696344525007,-0.04820091223505589,0.013116057132389038,-0.019556983031583104,0.03048372233301768
picture,-1,70.0,150.0,HG 70-150Hz,51,hg,0.06433577321666183,-0.04138586714633137,0.04030433876208514,0.04156091550673006,-0.04298682256372165,-0.07031939881446518,0.00849106103904112,0.044197739578433766
picture,-1,70.0,150.0,HG 70-150Hz,52,hg,0.05974803272841248,-0.033937334458126994,0.03518528927873009,0.04933389398984062,-0.018805474863292627,-0.12037691557792507,0.028852508902361466,0.04946277854266991
picture,-1,70.0,150.0,HG 70-150Hz,53,hg,0.052027751398564394,-0.037194714374394464,0.03561606168558732,0.04909407676738813,-0.0014372881790912244,-0.11894976097517561,0.020843873677121427,0.04502336100818894
picture,-1,70.0,150.0,HG 70-150Hz,54,hg,0.03870176059882661,-0.042160879393115885,0.029415823585685844,0.04269664804966206,0.02277851755406918,-0.1134820846282067,0.022050214233079866,0.04446941829180658
picture,-1,70.0,150.0,HG 70-150Hz,55,hg,0.027863352673268046,-0.030031602975075473,0.023807987162460534,0.029558519029884794,0.032078285637264926,-0.10395272804499356,0.020676186517190626,0.03828123743430543
picture,-1,70.0,150.0,HG 70-150Hz,56,hg,0.024609336566990263,0.008624368060213088,0.01841485805417027,0.010181000543771098,0.035234297496313904,-0.07610554463207034,-0.020958316089388425,0.027732531634702483
picture,-1,70.0,150.0,HG 70-150Hz,57,hg,0.02611872905895012,0.05762191966889749,0.027950747847733298,-0.020144033572470042,0.04460609130339667,-0.05844263512576693,-0.07771081918074038,0.044656425108279274
picture,-1,70.0,150.0,HG 70-150Hz,58,hg,0.030270579100508184,0.07821293185072645,-0.015050822760651374,-0.02571132676558686,0.0911339369289772,-0.05671884214270099,-0.10213645621127243,0.05703355653720336
picture,-1,70.0,150.0,HG 70-150Hz,59,hg,0.034656653409472,0.07806466808222148,-0.0577551688858827,-0.024269668193070863,0.13207327722069717,-0.053568494529471954,-0.10920126710396555,0.06994131391782596
picture,-1,70.0,150.0,HG 70-150Hz,60,hg,0.040505262042426896,0.0816382259565166,-0.08826504850611834,-0.020861542210246,0.14035250400463853,-0.03554558613327041,-0.11782381515394677,0.07499885485816622
picture,-1,70.0,150.0,HG 70-150Hz,61,hg,0.04899454568066353,0.08354896483592344,-0.07683448351336544,-0.03321204615519854,0.122101893649628,-0.027808451558854166,-0.11679042293879692,0.07275582976177572
