sample_idx,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23
249,3,3,1,4,4,3,0,1,10,3,9,1,2,2,11,9,2,14,20,21
250,3,3,1,4,0,3,8,7,0,3,9,6,2,2,11,9,13,14,20,21
251,3,3,1,4,0,3,8,7,6,8,13,6,13,7,10,13,13,5,9,8
252,3,3,1,4,0,2,1,1,10,3,10,1,2,2,11,9,19,14,20,21
253,1,4,3,2,5,1,1,1,4,3,12,14,14,2,11,14,14,14,20,0
254,1,1,4,1,4,8,0,8,0,3,9,1,2,0,11,2,2,14,8,21
255,1,1,4,1,4,8,0,8,0,3,9,1,2,2,11,2,2,14,20,21
256,1,1,4,1,4,4,0,8,0,3,9,1,2,2,11,2,2,14,20,21
257,1,1,4,1,4,8,9,8,0,12,9,1,2,0,4,2,2,14,8,19
258,1,1,4,1,4,8,9,1,2,3,4,1,4,2,11,2,19,14,20,21
259,1,1,4,1,4,8,0,8,0,3,9,1,2,0,4,2,2,14,8,21
260,1,1,4,1,4,8,0,8,0,3,9,1,2,0,4,2,2,14,8,21
261,1,1,4,1,4,8,9,1,2,3,4,12,4,2,11,9,4,14,20,21
262,3,3,1,4,0,3,8,1,10,8,13,6,13,2,11,9,13,5,20,21
263,3,3,1,4,0,3,8,7,6,8,13,6,13,7,11,13,13,5,20,21
264,3,3,1,4,0,3,8,7,10,3,13,6,13,2,11,13,13,14,20,21
265,1,1,4,1,4,8,9,8,0,3,9,1,2,0,4,2,2,14,8,21
266,1,1,4,1,4,8,9,1,10,3,9,1,2,2,11,2,2,14,20,21
267,3,3,1,4,4,3,0,1,10,3,9,1,2,2,11,9,19,14,20,21
