sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
378,8,9,10,11,11,12,13,14,14,15,16
379,8,9,10,11,11,12,13,14,14,15,16
380,3,3,4,5,5,5,5,5,5,6,7
381,3,3,4,5,5,5,5,5,5,6,7
382,3,3,4,5,5,5,5,5,5,6,7
383,3,3,4,5,5,5,5,5,5,6,7
384,3,3,4,5,5,5,5,5,5,6,7
385,3,3,4,5,5,5,5,5,5,6,7
386,3,3,4,5,5,5,5,5,5,6,7
387,3,3,4,5,5,5,5,5,5,6,7
388,8,9,10,11,11,12,13,14,14,15,16
389,8,9,10,11,11,12,13,14,14,15,16
390,8,9,10,11,11,12,13,14,14,15,16
391,8,9,10,11,11,12,13,14,14,15,16
392,8,9,10,11,11,12,13,14,14,15,16
393,8,9,10,11,11,12,13,14,14,15,16
394,8,9,10,11,11,12,13,14,14,15,16
395,0,0,0,0,0,0,0,0,0,0,0
396,8,9,10,11,11,12,13,14,14,15,16
397,8,9,10,11,11,12,13,14,14,15,16
398,8,9,10,11,11,12,13,14,14,15,16
399,8,9,10,11,11,12,13,14,14,15,16
400,8,9,10,11,11,12,13,14,14,15,16
401,8,9,10,11,11,12,13,14,14,15,16
402,8,9,10,11,11,12,13,14,14,15,16
403,8,9,10,11,11,12,13,14,14,15,16
404,8,9,10,11,11,12,13,14,14,15,16
405,8,9,10,11,11,12,13,14,14,15,16
406,8,9,10,11,11,12,13,14,14,15,16
407,8,9,10,11,11,12,13,14,14,15,16
408,8,9,10,11,11,12,13,14,14,15,16
409,8,9,10,11,11,12,13,14,14,15,16
410,8,9,10,11,11,12,13,14,14,15,16
411,8,9,10,11,11,12,13,14,14,15,16
412,8,9,10,11,11,12,13,14,14,15,16
413,8,9,10,11,11,12,13,14,14,15,16
414,8,9,10,11,11,12,13,14,14,15,16
415,0,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0,0
417,8,9,10,11,11,12,13,14,14,15,16
418,8,9,10,11,11,12,13,14,14,15,16
419,8,9,10,11,11,12,13,14,14,15,16
420,8,9,10,11,11,12,13,14,14,15,16
421,8,9,10,11,11,12,13,14,14,15,16
422,8,9,10,11,11,12,13,14,14,15,16
423,8,9,10,11,11,12,13,14,14,15,16
424,8,9,10,11,11,12,13,14,14,15,16
425,8,9,10,11,11,12,13,14,14,15,16
426,8,9,10,11,11,12,13,14,14,15,16
427,8,9,10,11,11,12,13,14,14,15,16
428,8,9,10,11,11,12,13,14,14,15,16
429,8,9,10,11,11,12,13,14,14,15,16
430,8,9,10,11,11,12,13,14,14,15,16
431,8,9,10,11,11,12,13,14,14,15,16
432,8,9,10,11,11,12,13,14,14,15,16
433,8,9,10,11,11,12,13,14,14,15,16
434,8,9,10,11,11,12,13,14,14,15,16
435,8,9,10,11,11,12,13,14,14,15,16
436,8,9,10,11,11,12,13,14,14,15,16
437,8,9,10,11,11,12,13,14,14,15,16
438,8,9,10,11,11,12,13,14,14,15,16
439,8,9,10,11,11,12,13,14,14,15,16
440,8,9,10,11,11,12,13,14,14,15,16
441,7,8,9,10,10,11,12,12,12,13,14
442,7,8,9,10,10,11,12,12,12,13,14
443,7,8,9,10,10,11,12,12,12,13,14
444,7,8,9,10,10,11,12,12,12,13,14
445,7,8,9,10,10,11,12,12,12,13,14
446,7,8,9,10,10,11,12,12,12,13,14
447,7,8,9,10,10,11,12,12,12,13,14
448,7,8,9,10,10,11,12,12,12,13,14
449,8,9,10,11,11,12,13,14,14,15,16
450,8,9,10,11,11,12,13,14,14,15,16
451,8,9,10,11,11,12,13,14,14,15,16
452,8,9,10,11,11,12,13,14,14,15,16
453,7,8,9,10,10,11,12,12,12,13,14
