sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
382,3,5,10,1,4,4,5,11,4,15,7
383,3,5,10,1,4,4,5,11,4,15,7
384,3,5,10,1,4,4,5,11,4,15,7
385,3,5,10,1,4,4,5,11,4,15,7
386,1,1,9,10,1,1,3,6,10,7,18
387,1,1,9,10,1,1,3,6,10,7,18
388,5,7,3,5,9,14,3,6,6,3,11
389,3,5,10,1,4,4,5,11,4,15,7
390,3,5,10,1,4,4,5,11,4,15,7
391,2,8,0,3,12,2,12,12,7,2,1
392,3,5,10,1,4,4,5,11,4,15,7
393,3,1,10,10,1,1,4,0,4,15,6
394,3,5,10,1,4,4,5,11,4,15,7
395,3,5,10,1,4,4,5,11,4,15,7
396,3,5,10,1,4,4,5,11,4,15,7
397,3,5,10,1,4,4,5,11,4,15,7
398,0,0,2,1,4,13,4,0,11,15,16
399,3,5,10,1,4,13,4,0,11,15,16
400,0,0,2,8,13,13,4,0,11,15,16
401,3,5,10,1,4,13,4,0,11,15,16
402,3,5,10,1,4,4,4,0,4,15,7
403,3,5,10,1,4,13,4,0,11,15,16
404,3,5,10,1,4,4,4,0,4,15,7
405,3,5,10,1,4,4,4,0,4,15,16
406,3,5,10,1,4,4,4,0,4,15,7
407,3,5,10,1,4,13,4,0,11,15,16
408,0,0,2,1,4,13,4,0,11,15,16
409,3,5,10,1,4,13,4,0,11,15,16
410,0,0,2,1,4,13,4,0,11,15,16
411,1,5,10,1,4,4,5,11,4,7,7
412,0,0,9,1,13,13,0,4,13,9,3
413,3,5,10,1,4,4,5,11,4,7,7
414,3,5,10,1,4,4,5,11,4,15,7
415,3,5,10,1,4,4,5,11,4,15,7
416,5,7,3,5,9,14,3,6,10,7,18
417,1,1,9,10,1,1,3,6,10,7,18
418,1,1,9,10,1,1,3,6,10,7,18
419,3,5,10,1,4,4,5,11,4,15,7
420,9,10,4,6,0,5,9,15,1,16,8
421,3,5,10,1,4,4,4,0,4,15,6
422,6,4,7,4,3,6,10,15,1,1,9
423,6,4,7,4,3,6,10,15,1,1,9
424,4,2,6,9,2,10,2,8,3,10,4
425,3,5,10,1,4,4,5,11,4,7,7
426,3,5,10,1,4,4,5,11,4,7,7
