sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
158,3,2,3,6,0,7,2,4,8,3,5,7,4,13,11,7,14,11,4,2,22,17,21,21,3,10
159,4,1,2,1,6,3,8,6,2,1,13,14,8,10,18,12,14,17,14,6,12,7,5,2,0,0
160,4,1,2,1,6,3,8,6,2,7,13,14,8,10,18,12,17,17,21,13,12,16,5,9,25,16
161,2,3,4,0,7,2,0,3,4,0,2,15,14,8,17,1,9,2,8,14,11,7,2,18,27,0
162,2,3,5,2,3,6,7,10,10,13,7,13,3,3,14,9,5,19,2,16,17,22,11,4,8,22
163,1,4,5,2,3,5,0,8,5,11,1,3,10,15,0,14,0,2,20,3,8,24,19,20,18,2
164,3,2,3,6,0,7,2,4,8,3,11,7,0,15,5,2,8,2,11,9,11,14,26,1,4,0
165,3,2,3,6,0,7,2,4,8,3,5,7,4,13,5,7,8,11,11,2,11,7,12,1,3,11
166,1,4,5,2,3,6,7,10,10,13,7,13,3,3,14,9,5,19,2,16,17,22,11,14,8,22
167,1,4,5,2,3,6,7,10,10,13,7,13,3,3,14,9,5,19,2,16,11,7,11,14,8,0
168,2,3,4,2,7,6,7,10,10,13,7,13,3,3,14,9,5,19,2,4,17,22,11,2,8,22
169,2,4,5,2,3,5,7,10,10,13,7,13,3,3,14,9,5,19,2,16,17,22,11,14,8,22
170,1,4,5,2,3,5,4,10,5,13,1,13,10,15,0,14,0,2,20,3,8,24,19,20,18,2
171,3,2,3,6,0,7,2,4,8,3,5,7,4,13,5,7,14,11,11,2,22,7,21,1,3,0
172,3,2,3,6,0,7,2,4,8,3,5,7,4,13,11,7,14,11,11,2,22,7,21,1,3,11
173,2,3,4,0,7,2,1,3,4,0,2,15,14,8,17,1,9,12,8,4,17,7,11,22,15,7
174,1,5,6,2,5,6,7,10,10,13,7,13,3,3,14,9,5,19,2,16,17,7,11,14,8,0
175,2,3,6,2,3,6,7,10,10,13,7,13,3,3,14,9,5,19,2,16,17,7,11,2,8,22
176,1,5,1,7,5,6,7,10,10,4,4,13,5,3,14,9,20,2,1,7,11,7,7,1,8,0
177,3,2,3,6,0,7,0,4,8,3,5,7,4,15,0,14,0,2,20,9,11,14,26,1,4,0
178,3,2,3,6,0,7,2,4,8,3,5,7,4,13,11,7,14,11,4,2,22,7,21,1,3,0
179,3,2,3,4,0,1,0,8,5,11,1,3,15,15,0,14,0,2,20,9,8,14,26,16,4,0
180,3,4,5,2,3,6,7,10,10,13,7,13,3,3,0,9,0,2,2,9,21,7,11,14,8,0
181,1,5,1,4,1,4,0,8,5,11,1,3,15,15,15,14,0,2,16,5,8,14,26,16,12,4
182,3,2,3,5,0,7,2,4,8,3,11,7,0,5,5,2,0,2,18,9,11,14,26,1,4,0
183,1,4,5,2,3,6,7,10,10,13,7,13,3,3,14,9,5,2,2,16,1,22,11,14,8,0
184,3,2,3,6,0,7,2,4,8,3,5,7,4,13,5,7,8,11,11,2,22,7,12,1,3,11
