sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
186,3,2,2,5,5,6,5,11,8,8,8,10,10,16,12,12,14,7,8,19,11,15,16,11,9,9
187,4,5,6,3,0,8,9,3,10,13,11,7,16,3,8,15,15,5,18,5,4,22,10,10,27,10
188,4,5,6,3,0,8,9,3,10,2,11,7,16,3,8,15,15,5,18,5,4,22,10,10,27,10
189,4,5,6,3,0,5,2,3,10,2,11,7,16,3,8,3,5,6,18,7,20,6,0,1,1,1
190,4,5,6,3,0,5,9,3,10,2,11,7,16,3,11,3,5,5,18,5,20,22,0,21,1,1
191,4,5,6,3,0,8,2,10,10,13,9,11,14,3,8,2,15,6,5,7,4,6,11,1,27,10
192,4,5,6,3,0,8,2,3,10,13,9,11,14,3,8,15,15,5,18,7,4,22,10,10,27,10
193,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,10
194,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
195,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,26
196,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,4,6,11,1,27,26
197,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,26
198,3,2,2,4,8,4,8,10,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
199,3,2,2,4,8,8,2,10,12,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
200,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
201,3,2,2,4,8,4,8,2,4,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
202,3,2,2,4,8,8,2,10,12,3,1,2,6,11,3,1,2,15,21,4,2,4,4,5,21,24
203,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,18,6,5,7,16,6,11,1,11,10
204,4,5,6,3,0,8,2,10,12,13,9,11,14,3,8,2,15,6,5,7,4,6,11,1,27,10
205,4,1,4,1,1,2,9,3,10,2,11,7,16,6,11,3,7,5,18,5,7,22,10,10,15,29
206,4,5,6,3,0,8,2,10,12,13,6,15,14,3,8,2,15,6,5,2,4,22,7,1,27,10
207,4,5,6,3,0,8,2,10,12,13,6,15,0,3,8,15,15,5,18,2,4,22,7,1,27,10
208,4,5,6,3,0,8,2,10,12,13,6,15,0,0,14,15,15,13,18,2,4,22,24,10,27,10
209,0,4,6,3,1,2,9,1,0,4,6,15,0,15,14,15,15,13,6,14,4,22,3,10,27,14
210,4,5,6,3,1,2,9,3,10,2,11,7,16,5,11,15,7,5,18,2,4,22,10,12,15,29
211,4,5,6,3,0,2,9,3,10,2,11,7,16,5,6,15,15,5,18,2,4,22,7,12,27,10
