condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[17Networks_1],coef[17Networks_10],coef[17Networks_11],coef[17Networks_12],coef[17Networks_13],coef[17Networks_14],coef[17Networks_15],coef[17Networks_16],coef[17Networks_17],coef[17Networks_2],coef[17Networks_3],coef[17Networks_4],coef[17Networks_5],coef[17Networks_6],coef[17Networks_7],coef[17Networks_8],coef[17Networks_9],importance
reading,-1,70.0,150.0,HG 70-150Hz,210,hg,-0.0012682485325845772,-0.045522335483874736,0.015782553751964513,0.03599476140402645,-0.0046686298196703755,0.01407336660579214,-0.006365621796432201,0.008954971336510078,0.026264661441619066,-0.016830622789106447,0.00029832127652986296,0.0055673795294108345,-0.02131674838065892,-0.035513038214378956,0.013299682170206963,-0.004069057044657224,0.015318604545303685,0.015947564948395707
reading,-1,70.0,150.0,HG 70-150Hz,211,hg,0.004069140316035021,-0.028257762551285943,0.025828872901673385,0.012290795609352086,0.0029718979798527036,0.014421128840755486,-0.00560196389476215,0.00120350708528656,0.026595457456764823,-0.018738695603538164,-0.013770558110211386,-0.00347737632225292,-0.016042313725071443,-0.030039460696972352,0.010951029371131247,0.005206691280274225,0.012389610062969073,0.013638603635775822
reading,-1,70.0,150.0,HG 70-150Hz,212,hg,-0.0075100653916002295,-0.005732399743005448,0.025286154079613144,0.004812762848485717,0.012225286587170002,0.001874910672288624,0.007425884907493701,0.009945345824957085,0.018862183832551036,-0.02488478991781021,-0.010516331913116165,-0.003390041917827798,0.0068685556104823514,-0.01783492858398862,0.0011335229452560534,-0.019064314212564125,0.0004982643716150777,0.010462690785872081
reading,-1,70.0,150.0,HG 70-150Hz,213,hg,-0.005643045435682772,0.00869095688098635,0.02154257337053452,0.003971707013154162,0.016013238287924322,0.012064312545662923,0.012096131325193207,0.02481731680237777,0.006710772210125234,-0.03211146264141841,-0.012608265471246024,-0.008656537883440998,-0.003695730896817889,-0.00885397007889326,-0.0025531082224068092,-0.027551611491410815,-0.004233276314641318,0.012459648051289223
reading,-1,70.0,150.0,HG 70-150Hz,214,hg,-0.00888664581727561,0.003589895845120543,0.02335166795017111,0.007695921736517371,-0.001300126360724689,0.00789711046462538,0.012739957227021753,0.013593814195375642,0.0040945291672900355,-0.04023076665002378,-0.0075916507539414806,-0.005778590042595039,0.0028830480274117873,-0.00470391371225507,-0.000544681208645107,-0.006416538212222373,-0.00039303185585045795,0.008923052307474545
reading,-1,70.0,150.0,HG 70-150Hz,215,hg,-0.007477534053272728,0.01433904074205778,0.02764501454461688,0.015585307310276493,0.0025611853052447528,0.01349549208706702,0.0016838843714155449,-0.006962181434744727,-0.004024523379341552,-0.035873932469843946,-0.007347273040751974,0.0014996030941026698,-0.003920099641894549,-0.03331673216615021,-0.002549338015513378,0.01132283938874495,0.013339247357986854,0.011937836964883883
reading,-1,70.0,150.0,HG 70-150Hz,216,hg,-0.006920752736911649,0.012192725625585458,0.026238129278451313,-0.0009615419229735289,0.009270536401649742,0.02546697262968268,0.005336115229099706,-0.01576446021202558,-0.01819298151585234,-0.00958803046799682,-0.007808094032519166,-0.006273490980756888,0.010713301363929607,-0.048115834113625335,0.004855233339896164,0.004230840067781569,0.015321332046585222,0.013367668939136634
reading,-1,70.0,150.0,HG 70-150Hz,217,hg,0.005239823384530553,0.002586174923626427,0.017130730766884476,-0.01300818521859079,0.007049875260268171,0.022877094823888763,0.016279558601406067,-0.026082936339472743,-0.0183752505123213,0.008215159837592433,-0.007730979965589189,-0.021690849547698936,0.0065451815027184725,-0.030368192565892096,0.011756131542786739,0.001545524465456557,0.01803113904040664,0.013794869899948842
reading,-1,70.0,150.0,HG 70-150Hz,218,hg,0.009752687198162907,-0.005496286133094777,0.005514433431482476,-0.007565905113570067,0.007926264402703794,0.004765862325137965,0.018376940886612594,-0.025899000018715625,-0.014028758949478014,0.020727510541304457,-0.013034280748934816,-0.012724929974507257,0.0064774145314593174,-0.02879726496005905,0.013964055794814533,0.004344067481960467,0.015697189304721245,0.012652520693924668
reading,-1,70.0,150.0,HG 70-150Hz,219,hg,0.010047987351346618,-0.009202980335752483,0.004087804631629507,0.007169928978130122,-0.017885590078635816,-0.003165880346424663,0.016030879651783743,-0.008821600614751115,-0.008322140084327813,0.026485541966628997,-0.0015465443304006757,-0.013227687646416623,-0.002030901916408738,-0.05052059803620044,0.016915364498922014,0.019044219254911284,0.014942197055965981,0.01349693216344921
reading,-1,70.0,150.0,HG 70-150Hz,220,hg,0.000548383246610002,-0.011210594564709771,0.0032969527959154396,0.0023327842845548593,-0.020818930255822116,-0.0011631570296560386,0.003281350765951087,-0.00038630296321561175,-0.00978145605940388,0.03896146469482308,-0.002583426930931975,-0.013268943273728918,-0.0006761037223158737,-0.0469062825019802,0.01543782354659499,0.030699859423387897,0.012236578543926988,0.012564140859031101
reading,-1,70.0,150.0,HG 70-150Hz,221,hg,0.0025036159838089213,-0.01011400176946443,-0.003418724110869227,-0.00036907166885236195,-0.012798830448633655,-0.0019964322974559286,0.0035584472291884917,0.0031125617244691446,-0.012669233386779909,0.05246865221682557,-0.005371355151261758,-0.008011981145548427,-0.011800999109739528,-0.0422953815927289,0.03037068862898787,0.011125672413363048,0.005706372484691117,0.012805413021333426
