k,method_1,feature_1,method_2,feature_2,same_algorithm,same_feature,diagonal_share,null_mean,null_p95,p_value,chance_corrected,n_electrodes,n_perm,run_1,run_2
7,hierarchical,concat_bands5z,cnmf,concat_bands5z,False,True,0.5196428571428572,0.17621666666666663,0.1863095238095238,0.000999000999000999,0.41688897623912907,1680,1000,20260915_003657,20260914_231813
7,cnmf,concat_hg,cnmf,concat_rawds,True,False,0.37797619047619047,0.18086488095238096,0.19226190476190477,0.000999000999000999,0.24063344976953768,1680,1000,20260914_225554,20260914_230430
7,cnmf,concat_hg,cnmf,concat_bands5z,True,False,0.45476190476190476,0.17725,0.1875,0.000999000999000999,0.3372979699324276,1680,1000,20260914_225554,20260914_231813
7,cnmf,concat_rawds,cnmf,concat_bands5z,True,False,0.5398809523809524,0.17864464285714285,0.18812499999999996,0.000999000999000999,0.43980514205251625,1680,1000,20260914_230430,20260914_231813
8,kmeans,concat_hg,kmeans,concat_rawds,True,False,0.37142857142857144,0.15651190476190477,0.16488095238095238,0.000999000999000999,0.2547951392319309,1680,1000,20260915_004134,20260915_004207
8,kmeans,concat_hg,kmeans,concat_bands5z,True,False,0.4738095238095238,0.15942857142857145,0.16785714285714284,0.000999000999000999,0.37400861092227505,1680,1000,20260915_004134,20260915_004310
8,kmeans,concat_hg,hierarchical,concat_hg,False,True,0.6357142857142857,0.15739107142857142,0.16547619047619047,0.000999000999000999,0.5676692924399346,1680,1000,20260915_004134,20260915_003616
8,kmeans,concat_hg,hierarchical,concat_rawds,False,False,0.31547619047619047,0.1662625,0.17562499999999995,0.000999000999000999,0.1789696283017022,1680,1000,20260915_004134,20260915_003626
8,kmeans,concat_hg,hierarchical,concat_bands5z,False,False,0.3761904761904762,0.15863690476190478,0.16666666666666666,0.000999000999000999,0.25857275254865614,1680,1000,20260915_004134,20260915_003657
8,kmeans,concat_hg,cnmf,concat_hg,False,True,0.6363095238095238,0.1590577380952381,0.16726190476190475,0.000999000999000999,0.5675202773532806,1680,1000,20260915_004134,20260914_225554
8,kmeans,concat_hg,cnmf,concat_rawds,False,False,0.381547619047619,0.15747202380952383,0.16547619047619047,0.000999000999000999,0.2659562668188918,1680,1000,20260915_004134,20260914_230430
8,kmeans,concat_hg,cnmf,concat_bands5z,False,False,0.4517857142857143,0.15913809523809525,0.16726190476190475,0.000999000999000999,0.348032914073428,1680,1000,20260915_004134,20260914_231813
8,kmeans,concat_rawds,kmeans,concat_bands5z,True,False,0.5630952380952381,0.15716130952380952,0.16488095238095238,0.000999000999000999,0.48162706951917733,1680,1000,20260915_004207,20260915_004310
8,kmeans,concat_rawds,hierarchical,concat_hg,False,False,0.35773809523809524,0.15620178571428572,0.1636904761904762,0.000999000999000999,0.23884420008451016,1680,1000,20260915_004207,20260915_003616
8,kmeans,concat_rawds,hierarchical,concat_rawds,False,True,0.5976190476190476,0.16200833333333334,0.17023809523809524,0.000999000999000999,0.5198270240782596,1680,1000,20260915_004207,20260915_003626
8,kmeans,concat_rawds,hierarchical,concat_bands5z,False,False,0.5142857142857142,0.15668630952380952,0.16428571428571428,0.000999000999000999,0.4240407914639457,1680,1000,20260915_004207,20260915_003657
8,kmeans,concat_rawds,cnmf,concat_hg,False,False,0.41964285714285715,0.15773988095238098,0.16607142857142856,0.000999000999000999,0.3109526027263662,1680,1000,20260915_004207,20260914_225554
8,kmeans,concat_rawds,cnmf,concat_rawds,False,True,0.7839285714285714,0.15668154761904762,0.16488095238095238,0.000999000999000999,0.7437842988477351,1680,1000,20260915_004207,20260914_230430
8,kmeans,concat_rawds,cnmf,concat_bands5z,False,False,0.5875,0.15763273809523806,0.16607142857142856,0.000999000999000999,0.5103086045067154,1680,1000,20260915_004207,20260914_231813
8,kmeans,concat_bands5z,hierarchical,concat_hg,False,False,0.4386904761904762,0.1579732142857143,0.16550595238095234,0.000999000999000999,0.3333828171114905,1680,1000,20260915_004310,20260915_003616
