comparison,axis,rank,weighting,cluster_1,cluster_2,r_centred,r_plain,overlap,n_1,n_2,null_plain_mean,null_plain_sd,z_plain,p_plain,null_within_mean,null_within_sd,z_within,p_within
cnmf_concat_hg_vs_concat_bands5,B feature sets,7,weighted,0,1,0.24468091382562995,0.7649337605815787,0.3224004433212532,189.87921933272654,176.1256122054206,0.2882263059144072,0.016055656527521667,2.1284796014580123,0.006993006993006993,0.3075996310508061,0.005394703862770174,2.7435819735333733,0.001998001998001998
cnmf_concat_hg_vs_concat_bands5,B feature sets,8,weighted,6,2,0.19419321313787447,0.8764838520490623,0.3150472840794445,234.3499499010714,187.6203593184265,0.2837592914014219,0.0179949122104692,1.7387132714001035,0.00999000999000999,0.3203806517795124,0.004865428666893585,-1.0961763218025153,0.8741258741258742
cnmf_concat_hg_vs_concat_bands5,B feature sets,9,weighted,8,7,-0.008262845777184849,0.7609060406724859,0.33136380919953967,167.5175924842343,181.5536030817216,0.28641069347158576,0.015582365040733142,2.8848711739485013,0.000999000999000999,0.34002235980008155,0.02587801308273879,-0.3345910125656953,0.8111888111888111
cnmf_concat_hg_vs_concat_bands5z,B feature sets,1,hard,7,2,0.8925705669751869,0.9466508198272361,0.4781144781144781,206.0,233.0,0.06844130878597386,0.016223308480283267,25.2521345955046,0.000999000999000999,0.32231598216249907,0.016362985781193527,9.52139774704461,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,2,hard,6,6,0.8387308097383239,0.967952977291513,0.39112050739957716,357.0,301.0,0.08401249970628286,0.021973893499959558,13.976039689728154,0.000999000999000999,0.2552684706801324,0.011552102061954736,11.75994083075623,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,3,hard,5,7,0.833868463199508,0.9293331935664768,0.39473684210526316,189.0,182.0,0.06576096546993523,0.01609238699062789,20.44295087030417,0.000999000999000999,0.24222677011387128,0.012836802300449155,11.88069025461704,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,4,hard,3,5,0.8211614677902453,0.9026788709363652,0.3674418604651163,148.0,146.0,0.05708509204495492,0.013972471011583778,22.212017342019337,0.000999000999000999,0.24287142546681623,0.014247296443317509,8.74344374695229,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,5,hard,8,4,0.7470438119711835,0.9265861520071674,0.25,110.0,245.0,0.04700868761627824,0.013453902006540848,15.087913698571166,0.000999000999000999,0.20493831279246608,0.010205799637549917,4.415301966319199,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,6,hard,0,0,0.7426249059208423,0.900691368456883,0.250996015936255,185.0,129.0,0.06319235769906324,0.01505451438122128,12.474906428828719,0.000999000999000999,0.0866996885540192,0.011995250926427713,13.696781200321634,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,7,hard,1,3,0.6169179152179719,0.861390927438577,0.22727272727272727,165.0,186.0,0.05914156954094281,0.015259775201161941,11.017931490824468,0.000999000999000999,0.12204873780178858,0.013525772821773916,7.779517729408268,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,8,hard,2,8,0.48877354307861837,0.8311990057331808,0.2019704433497537,140.0,104.0,0.0543712681513886,0.014451212210641029,10.213618971679185,0.000999000999000999,0.15496668249474554,0.015404204059526253,3.051359270064988,0.005994005994005994
cnmf_concat_hg_vs_concat_bands5z,B feature sets,9,hard,4,1,0.04090794292304525,0.7041466756101871,0.034055727554179564,180.0,154.0,0.06340855681288032,0.015697797550805546,-1.8698692707496722,0.972027972027972,0.04146483045532078,0.005359713378663842,-1.3823692383692878,0.9600399600399601
cnmf_concat_hg_vs_concat_bands5z,B feature sets,1,weighted,7,2,0.8925705669751869,0.9466508198272361,0.501647531693779,185.19205203139686,223.149012246114,0.2612911420318233,0.022140499722845503,10.8559604647923,0.000999000999000999,0.3934503748343651,0.005282666639326863,20.481541661921092,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,2,weighted,6,6,0.8387308097383239,0.967952977291513,0.5014507880921772,234.3499499010714,212.31210705165876,0.2792559998294529,0.025458600413017597,8.727690629415386,0.000999000999000999,0.3801452766383908,0.004998862517212379,24.26662286392157,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,3,weighted,5,7,0.833868463199508,0.9293331935664768,0.477107961443319,175.23667642174536,161.54653163663897,0.25927572911894464,0.01992701442972641,10.931503717858508,0.000999000999000999,0.3302841491227041,0.006465597200603258,22.7084688026832,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,4,weighted,3,5,0.8211614677902453,0.9026788709363652,0.4506839888586488,202.29777490473555,169.52459871213443,0.28554687577368953,0.02507182130758954,6.586562302714333,0.000999000999000999,0.37505086195462245,0.0056613826605214955,13.359479731239265,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,5,weighted,8,4,0.7470438119711835,0.9265861520071674,0.4248520905945009,167.5175924842343,206.0250108640853,0.27948325372999994,0.02284990391589152,6.361901450421447,0.000999000999000999,0.38455940066090394,0.004819851280660587,8.3597371759725,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,6,weighted,0,0,0.7426249059208423,0.900691368456883,0.47295273577622915,189.87921933272654,181.36485814183095,0.2828379319839063,0.022650914469727126,8.393250702809844,0.000999000999000999,0.32182200701387365,0.006598139248197882,22.905052936497682,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,7,weighted,1,3,0.6169179152179719,0.861390927438577,0.33382335619552594,174.65444254523328,227.07017617324647,0.2679597488924207,0.022629254484171447,2.910551355068947,0.000999000999000999,0.3079249718280029,0.005285652506615952,4.899751607792329,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,8,weighted,2,8,0.48877354307861837,0.8311990057331808,0.388171191530039,186.9730155067079,157.72817695741128,0.28311406289430874,0.024968054654761908,4.207661753723923,0.000999000999000999,0.3522203929959405,0.005836088420285809,6.160084622627751,0.000999000999000999
cnmf_concat_hg_vs_concat_bands5z,B feature sets,9,weighted,4,1,0.04090794292304525,0.7041466756101871,0.22199584487293,163.8992768721488,141.27952821687984,0.24551175667774838,0.019200044382146498,-1.2247842419929542,0.8691308691308691,0.20433331368524704,0.004078852256602414,4.3302699084265015,0.002997002997002997
cnmf_concat_hg_vs_concat_rawds,B feature sets,1,hard,7,5,0.9047599048191788,0.9309594326899113,0.4908424908424908,206.0,201.0,0.06848553457581179,0.015165459938224246,27.849927268090074,0.000999000999000999,0.2807005541669547,0.017785513073121983,11.815342959833364,0.000999000999000999
cnmf_concat_hg_vs_concat_rawds,B feature sets,2,hard,5,6,0.8827219578393497,0.9422446043053638,0.42660550458715596,189.0,122.0,0.06532783945287567,0.015094391179829683,23.93456356272574,0.000999000999000999,0.22020282792338297,0.014979453432646193,13.7790525930632,0.000999000999000999
cnmf_concat_hg_vs_concat_rawds,B feature sets,3,hard,4,2,0.7701870371328536,0.9486433726456235,0.22959183673469388,180.0,302.0,0.06313523215065918,0.014396656204420656,11.562171258415015,0.000999000999000999,0.16726719150230196,0.010077557169147832,6.18449929742866,0.000999000999000999
cnmf_concat_hg_vs_concat_rawds,B feature sets,4,hard,1,7,0.7240324889327385,0.8717839342118295,0.22661870503597123,165.0,176.0,0.059911548576709335,0.014708073163455961,11.334398095969945,0.000999000999000999,0.11487806835295368,0.015383601502454578,7.263620073959172,0.000999000999000999
cnmf_concat_hg_vs_concat_rawds,B feature sets,5,hard,3,4,0.6007418903617147,0.8021442989053735,0.19672131147540983,148.0,144.0,0.057031253493391776,0.013424897505803512,10.40529791170702,0.000999000999000999,0.17556445090937353,0.03125591128741393,0.6768914965072769,0.13586413586413587
