sample_idx,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
324,4,3,3,4,9,3,3,12,13,16,15
325,3,6,9,1,5,7,10,9,2,8,0
326,4,3,3,4,9,3,3,12,13,16,15
327,1,10,5,9,2,1,1,7,15,17,19
328,4,3,3,4,9,3,14,12,11,18,15
329,0,2,1,11,8,10,5,1,9,0,12
330,3,6,9,1,5,7,10,9,2,8,0
331,3,6,9,1,5,7,10,9,2,8,0
332,7,0,0,2,4,5,7,0,12,1,3
333,7,0,0,2,2,5,1,0,12,2,3
334,7,0,0,2,4,5,3,0,12,2,3
335,0,2,1,8,8,0,14,6,11,18,6
336,7,0,0,2,4,9,7,14,1,1,2
337,7,0,0,2,4,5,7,14,1,1,3
338,1,10,5,9,2,1,3,0,13,2,3
339,4,0,0,2,4,3,3,0,12,16,3
340,9,0,6,2,4,9,7,0,12,1,3
341,1,10,5,9,2,1,3,0,12,2,3
342,3,6,5,1,2,7,3,7,2,8,0
343,3,6,9,1,5,7,10,9,2,10,10
344,4,3,3,4,9,3,14,12,11,18,6
345,4,3,3,4,9,7,14,12,2,18,15
346,9,7,6,12,6,11,15,10,5,9,1
347,7,1,8,7,2,5,1,7,15,2,19
348,1,10,5,9,2,4,1,7,15,2,19
349,8,5,10,5,12,4,13,13,7,17,8
350,8,5,10,5,12,4,13,13,7,17,8
351,1,1,8,7,2,4,1,7,15,17,19
352,9,7,6,12,6,11,15,10,5,9,1
353,9,7,6,12,6,11,15,10,5,9,1
354,9,7,6,12,6,11,15,10,5,9,1
355,9,7,6,12,6,9,7,14,5,1,2
356,9,0,6,12,6,9,7,14,5,1,2
357,9,0,6,2,4,9,7,14,1,1,2
358,9,0,6,12,6,9,7,14,5,1,2
359,9,7,6,12,6,9,7,10,5,1,1
360,9,0,6,12,6,9,7,14,5,1,2
361,9,0,6,12,6,9,7,14,5,1,2
362,7,0,2,6,7,8,2,14,3,3,2
363,5,4,2,6,7,8,2,2,3,3,14
364,5,4,2,6,7,8,2,2,3,3,14
365,9,0,6,12,6,9,7,14,1,1,2
366,7,0,0,2,4,9,7,14,1,1,2
367,7,0,0,2,4,9,7,14,1,1,2
368,7,1,0,2,1,5,6,14,4,12,2
369,7,0,0,2,4,9,7,14,1,1,2
370,4,3,3,8,9,0,14,6,11,18,6
371,4,3,3,8,9,0,14,6,11,18,6
372,4,3,3,8,9,0,14,6,11,18,6
373,4,3,3,4,9,3,14,12,11,18,6
374,4,3,3,4,9,3,14,12,11,18,6
375,4,3,3,4,9,3,14,12,11,18,6
376,9,7,6,12,6,11,15,10,5,9,1
377,9,7,6,12,6,11,15,10,5,9,1
378,9,7,6,12,6,11,7,10,5,9,1
379,4,3,3,4,9,3,3,12,13,16,6
380,9,0,6,2,6,9,7,14,1,1,2
381,9,0,6,2,6,9,7,14,1,1,2
382,9,7,6,12,6,11,15,10,5,9,1
383,7,0,0,2,4,9,7,14,1,1,2
384,7,0,0,2,4,9,7,14,1,1,2
385,9,7,6,12,6,9,7,10,5,16,1
386,5,4,2,6,7,8,2,2,3,13,11
387,5,4,2,6,7,8,2,2,3,13,11
388,5,4,4,3,13,2,4,4,6,14,7
389,9,0,6,12,6,9,7,14,1,1,2
390,9,7,6,12,6,9,7,10,5,9,1
391,0,2,1,8,8,0,12,6,0,5,5
392,9,0,6,12,6,9,7,14,5,1,2
393,7,0,0,2,4,5,6,14,4,12,2
394,9,7,6,12,6,9,7,10,5,9,1
395,9,7,6,12,6,9,7,10,5,1,1
396,9,0,6,12,6,9,7,14,5,1,2
397,9,0,6,12,6,9,7,14,5,1,2
398,9,7,6,12,6,11,7,10,5,9,1
399,9,7,6,12,6,11,15,10,5,9,1
400,9,7,6,12,6,11,15,10,5,9,1
401,0,7,1,11,8,11,15,10,9,9,1
402,9,7,6,12,6,11,15,10,5,9,1
403,9,7,6,12,6,11,15,10,5,9,1
404,9,7,6,12,6,9,7,10,5,1,1
405,4,0,0,2,4,3,3,0,12,16,3
406,9,0,6,2,6,9,7,14,5,1,2
407,9,0,6,12,6,9,7,14,5,1,2
408,9,7,6,12,6,9,7,10,5,1,1
409,9,7,6,12,6,9,7,10,5,1,1
410,9,7,6,12,6,11,15,10,5,9,1
411,7,0,0,2,4,9,7,14,1,1,2
412,9,7,6,12,6,9,7,10,5,1,1
413,7,0,0,2,4,5,6,14,4,12,2
414,9,7,6,12,6,9,7,10,5,9,1
415,9,7,6,12,6,11,15,10,5,9,1
