k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,0,0,7,7,7,7,7,7,7,7,0,0,7,3,7,7,21,21,21,21,21,21,21,21
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
4,4,4,4,6,6,6,6,6,4,3,3,8,8,4,4,10,10,4,15,15,21,10,8,10,10
2,5,0,5,7,8,8,0,0,0,0,0,16,16,0,10,0,0,0,4,0,0,4,0,0,4
2,2,2,2,2,2,2,5,0,2,2,10,10,15,2,2,2,2,6,6,6,6,6,10,6,6
2,3,3,3,3,3,3,3,3,13,3,3,3,3,13,13,13,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
2,5,5,5,7,8,8,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,8,0,0,4
2,5,3,3,3,2,8,0,0,0,0,0,10,15,0,16,0,0,0,0,0,0,6,10,0,4
4,4,4,4,6,6,8,0,0,0,0,0,6,6,0,16,0,0,0,23,0,0,16,23,0,4
0,2,2,2,2,2,2,0,0,2,0,0,10,15,2,2,2,2,6,6,6,6,6,10,6,6
2,2,2,2,2,2,8,0,0,2,2,0,10,15,2,2,16,16,6,6,6,6,16,6,6,16
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
4,4,4,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,23,23,0,25,25,25,25
2,5,5,5,5,8,8,0,0,0,0,8,16,16,0,8,0,0,0,8,8,0,8,0,25,25
2,5,5,5,5,8,8,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,8,0,0,4
2,5,5,5,5,8,4,11,11,0,11,11,11,16,8,8,8,8,8,8,8,8,8,16,8,8
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,6,6,6,6,6,10,6,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,4,4,4,4,0,4,0
3,3,3,3,3,3,3,3,3,2,2,3,10,15,2,2,10,10,6,6,6,6,6,10,6,6
2,3,3,3,7,3,8,0,0,2,2,0,10,15,2,2,10,10,6,6,6,6,6,10,6,6
2,2,2,6,1,5,10,5,5,2,5,5,8,8,5,5,5,5,5,15,15,1,10,8,10,10
3,5,3,3,3,3,3,3,3,13,13,13,3,13,13,13,13,13,22,22,22,22,22,22,18,18
2,5,5,5,5,8,8,0,0,0,0,0,16,16,0,9,10,10,8,8,8,8,8,16,8,8
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
2,5,5,5,5,8,8,0,0,0,0,0,8,8,9,9,10,10,8,15,15,25,10,9,10,10
2,0,5,0,7,2,8,0,0,0,0,0,10,15,0,16,10,10,6,6,6,6,6,0,4,0
4,0,0,0,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,25,0,0,4
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,4,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,7,7,7,7
3,3,3,3,3,3,3,3,3,4,3,3,3,6,3,3,3,21,21,21,0,0,21,21,0,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,21,21,21,21,21,21,21,21,21
