sample_idx,patient_id,condition,task,electrode,file_path,prop_above_pos,prop_below_neg,high_activity,UMAP_1,UMAP_2,cluster_hierarchical_raw,silhouette,contact_name,patient,name,hemi,x,y,z,is_wm
42,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L2_TN.npy,0.0205426356589147,0.0016279069767441,True,8.750518,2.581281,1,0.2839146,AL2,EL030,AL2,L,-25.317325592041016,-4.529516220092773,-21.213720321655277,0.0
43,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L3_TN.npy,0.0310077519379844,0.0001550387596899,True,8.810391,2.6097293,1,0.30154178,AL3,EL030,AL3,L,-26.15047645568848,-3.044088125228882,-21.01518821716309,0.0
44,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L4_TN.npy,0.0271059431524547,0.0005426356589147,True,8.823492,2.5900505,1,0.28426868,AL4,EL030,AL4,L,-32.91841506958008,3.3941473960876465,-22.62943649291992,0.0
45,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L5_TN.npy,0.0297674418604651,0.0002583979328165,True,8.822606,2.6282823,1,0.29686177,AL5,EL030,AL5,L,-34.84610366821289,-11.320873260498049,-21.40219116210937,0.0
46,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L6_TN.npy,0.0361240310077519,0.0006976744186046,True,8.934881,2.696934,1,0.28355744,AL6,,,,,,,
47,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L7_TN.npy,0.0528940568475452,7.751937984496124e-05,True,8.992725,2.7811522,1,0.30433053,AL7,,,,,,,
48,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L8_TN.npy,0.047906976744186,0.0006459948320413,True,8.98313,2.7767823,1,0.28911933,AL8,,,,,,,
49,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L9_TN.npy,0.0593798449612403,0.0002067183462532,True,9.043122,2.8236926,1,0.2915787,AL9,EL030,AL9,L,-51.742713928222656,-2.652682065963745,-23.456254959106445,0.0
50,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R13_TN.npy,0.0272093023255813,0.065142118863049,True,-2.2288654,1.5112549,0,0.124469735,AR13,EL030,AR13,R,63.43340301513672,-2.240084171295166,-23.614107131958008,0.0
51,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R14_TN.npy,0.0326614987080103,0.1178811369509044,True,-2.2636821,1.5519011,0,0.17246562,AR14,EL030,AR14,R,64.65860748291016,-4.897129058837891,-22.837383270263672,0.0
52,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R15_TN.npy,0.0337467700258397,0.1265116279069767,True,-2.2583535,1.5420972,0,0.1817394,AR15,EL030,AR15,R,60.29244995117188,0.8859008550643921,-28.91887855529785,0.0
53,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R1_TN.npy,0.0211627906976744,0.0004651162790697,True,8.684457,1.420429,1,0.2460564,AR1,EL030,AR1,R,23.67355728149414,-8.160176277160645,-11.02544403076172,0.0
54,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R5_TN.npy,0.0220413436692506,0.0004909560723514,True,8.54608,1.1031585,1,0.2225585,AR5,EL030,AR5,R,30.940353393554688,-10.748085021972656,-18.684688568115234,0.0
55,EL030,picture,LM,aH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L10_TN.npy,0.0806201550387596,0.0001550387596899,True,9.056843,2.9246578,1,0.30720717,AHL10,EL030,AHL10,L,-58.8060188293457,-15.251161575317385,-26.56548500061035,0.0
56,EL030,picture,LM,aH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L11_TN.npy,0.1804651162790697,0.000594315245478,True,9.144802,2.9643755,1,0.28611776,AHL11,EL030,AHL11,L,-63.34803009033203,-12.519172668457031,-24.0849666595459,0.0
57,EL030,picture,LM,aH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_aH_L12_TN.npy,0.1264082687338501,0.0002583979328165,True,9.199006,2.9892693,1,0.3014106,AHL12,EL030,AHL12,L,-63.7901611328125,-12.230712890625,-23.1871395111084,0.0
