sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
174,2,5,4,2,3,6,3,6,10,11,8,10,4,17,10,12,11,7,1,8,19,12,12,24,17,20
175,3,1,2,5,2,2,3,0,0,5,11,9,3,10,13,7,0,17,9,3,18,18,4,9,6,1
176,3,1,2,5,2,2,6,10,7,5,11,9,9,3,15,7,0,17,9,3,18,18,13,9,6,1
177,3,1,2,1,2,4,6,10,11,7,4,2,9,10,1,17,9,20,9,7,11,9,12,17,6,24
178,2,0,0,0,4,8,8,3,9,10,10,1,6,3,4,10,2,12,8,11,7,12,25,15,9,8
179,2,0,0,0,4,8,8,3,4,10,10,14,6,3,4,4,2,12,8,11,6,25,25,11,9,28
180,2,0,0,0,4,8,8,3,4,10,10,14,6,3,4,0,2,12,14,11,15,25,25,5,9,28
181,3,0,0,0,4,8,8,3,4,10,4,14,6,3,4,0,2,12,14,11,15,25,25,5,9,28
182,2,0,0,0,4,8,8,3,4,10,10,14,6,3,4,0,2,12,8,11,6,25,25,5,9,28
183,2,0,0,0,2,8,8,3,4,10,10,14,6,3,4,0,2,12,8,11,15,25,25,5,9,28
184,2,0,0,0,2,8,8,3,4,10,10,14,6,3,4,0,2,12,8,11,6,25,25,5,9,28
185,2,0,0,0,4,8,8,3,4,10,10,14,6,3,4,9,20,12,8,11,6,2,17,5,10,14
186,3,0,0,0,4,8,8,3,4,10,11,14,6,3,4,0,2,2,9,11,15,25,25,17,6,28
187,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,21,7,11,9,12,17,6,4
188,3,1,3,6,7,9,7,9,1,6,5,5,10,6,9,13,18,6,19,0,2,11,23,18,5,7
189,3,1,2,1,2,4,6,10,11,7,4,2,9,9,1,17,9,20,21,20,11,9,13,17,1,4
190,3,1,3,6,7,9,7,9,11,7,4,2,9,9,1,4,9,18,21,20,9,9,8,8,1,9
191,3,1,3,6,7,9,7,9,11,7,4,2,9,9,1,17,9,6,21,10,9,9,8,8,1,7
192,3,1,3,6,7,9,7,9,1,6,5,5,10,6,9,13,18,6,19,0,2,11,23,18,5,7
193,1,4,3,6,7,9,7,9,1,6,5,5,10,6,9,13,18,6,19,0,2,11,23,18,5,7
194,1,4,5,3,5,5,2,7,2,1,9,15,1,17,12,4,19,5,22,16,5,21,15,11,2,8
195,4,3,3,6,7,7,7,9,9,1,5,1,9,14,12,4,19,5,22,20,9,21,13,11,2,8
196,3,1,3,6,7,9,7,9,11,7,4,2,9,9,1,4,16,6,21,20,9,9,13,8,1,7
197,3,1,2,6,0,2,3,0,0,3,11,11,3,10,13,12,3,9,1,17,10,17,13,8,25,4
198,3,4,5,3,7,9,7,2,1,11,1,5,11,6,18,16,15,8,7,10,23,1,8,8,15,19
199,1,4,5,3,5,5,7,9,1,6,5,5,10,6,9,13,18,6,19,19,2,11,18,18,5,7
200,3,4,5,3,7,1,10,9,6,4,14,8,10,6,9,14,8,6,19,10,2,11,11,18,5,7
201,3,1,3,6,5,1,7,9,1,6,5,5,10,6,9,4,18,5,19,18,2,11,6,18,5,7
202,1,4,5,3,5,1,10,1,6,4,14,8,12,2,0,14,15,5,19,13,3,4,18,25,2,8
203,1,4,5,3,5,5,2,7,2,1,2,15,14,12,11,4,5,1,20,19,3,25,18,26,9,9
204,1,4,5,3,7,9,7,9,1,6,5,5,10,6,9,13,18,6,19,0,2,11,23,18,5,7
205,1,5,5,3,5,5,2,7,2,11,9,15,1,17,10,15,5,11,18,8,10,10,18,0,19,18
206,4,3,1,7,1,0,5,11,8,12,13,13,7,8,2,11,14,4,3,5,22,6,5,21,19,23
207,4,3,1,7,1,0,5,11,8,12,13,13,7,8,2,11,14,4,3,5,22,6,5,21,19,23
